2024-04-23 13:59:18 status unpacked libsemanage-common:all 3.5-1build5
2024-04-23 13:59:18 install libsemanage2:arm64 <none> 3.5-1build5
2024-04-23 13:59:18 status half-installed libsemanage2:arm64 3.5-1build5
2024-04-23 13:59:18 status unpacked libsemanage2:arm64 3.5-1build5
2024-04-23 13:59:18 install libsepol2:arm64 <none> 3.5-2build1
2024-04-23 13:59:18 status half-installed libsepol2:arm64 3.5-2build1
2024-04-23 13:59:18 status unpacked libsepol2:arm64 3.5-2build1
2024-04-23 13:59:18 install libsmartcols1:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:18 status half-installed libsmartcols1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 status unpacked libsmartcols1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 install libss2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 status half-installed libss2:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 status unpacked libss2:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 install libssl3t64:arm64 <none> 3.0.13-0ubuntu3
2024-04-23 13:59:18 status half-installed libssl3t64:arm64 3.0.13-0ubuntu3
2024-04-23 13:59:18 status unpacked libssl3t64:arm64 3.0.13-0ubuntu3
2024-04-23 13:59:18 install libsystemd0:arm64 <none> 255.4-1ubuntu8
2024-04-23 13:59:18 status half-installed libsystemd0:arm64 255.4-1ubuntu8
2024-04-23 13:59:18 status unpacked libsystemd0:arm64 255.4-1ubuntu8
2024-04-23 13:59:18 install libtinfo6:arm64 <none> 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 status half-installed libtinfo6:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 status unpacked libtinfo6:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 install libudev1:arm64 <none> 255.4-1ubuntu8
2024-04-23 13:59:18 status half-installed libudev1:arm64 255.4-1ubuntu8
2024-04-23 13:59:18 status unpacked libudev1:arm64 255.4-1ubuntu8
2024-04-23 13:59:18 install libuuid1:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:18 status half-installed libuuid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 status unpacked libuuid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 install libzstd1:arm64 <none> 1.5.5+dfsg2-2build1
2024-04-23 13:59:18 status half-installed libzstd1:arm64 1.5.5+dfsg2-2build1
2024-04-23 13:59:18 status unpacked libzstd1:arm64 1.5.5+dfsg2-2build1
2024-04-23 13:59:18 install login:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:18 status half-installed login:arm64 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:19 status unpacked login:arm64 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:19 install logsave:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:19 status half-installed logsave:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:19 status unpacked logsave:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:19 upgrade mawk:arm64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-04-23 13:59:19 status half-configured mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:19 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:19 status half-installed mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:19 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:19 install mount:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:19 status half-installed mount:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:19 status unpacked mount:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:19 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 install ncurses-bin:arm64 <none> 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status half-installed ncurses-bin:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status unpacked ncurses-bin:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 install passwd:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:19 status half-installed passwd:arm64 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:19 status unpacked passwd:arm64 1:4.13+dfsg1-4ubuntu3
2024-04-23 13:59:19 upgrade perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2024-04-23 13:59:19 status half-configured perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:19 status unpacked perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:19 status half-installed perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:19 status unpacked perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:19 install procps:arm64 <none> 2:4.0.4-4ubuntu3
2024-04-23 13:59:19 status half-installed procps:arm64 2:4.0.4-4ubuntu3
2024-04-23 13:59:19 status unpacked procps:arm64 2:4.0.4-4ubuntu3
2024-04-23 13:59:19 install sed:arm64 <none> 4.9-2build1
2024-04-23 13:59:19 status half-installed sed:arm64 4.9-2build1
2024-04-23 13:59:19 status unpacked sed:arm64 4.9-2build1
2024-04-23 13:59:19 install sensible-utils:all <none> 0.0.22
2024-04-23 13:59:19 status half-installed sensible-utils:all 0.0.22
2024-04-23 13:59:19 status unpacked sensible-utils:all 0.0.22
2024-04-23 13:59:19 install sysvinit-utils:arm64 <none> 3.08-6ubuntu3
2024-04-23 13:59:19 status half-installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-04-23 13:59:19 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-04-23 13:59:19 install tar:arm64 <none> 1.35+dfsg-3build1
2024-04-23 13:59:19 status half-installed tar:arm64 1.35+dfsg-3build1
2024-04-23 13:59:19 status unpacked tar:arm64 1.35+dfsg-3build1
2024-04-23 13:59:19 install util-linux:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:19 status half-installed util-linux:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:19 status unpacked util-linux:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:19 install zlib1g:arm64 <none> 1:1.3.dfsg-3.1ubuntu2
2024-04-23 13:59:19 status half-installed zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2024-04-23 13:59:19 status unpacked zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2024-04-23 13:59:19 startup packages configure
2024-04-23 13:59:19 configure gcc-14-base:arm64 14-20240412-0ubuntu1 <none>
2024-04-23 13:59:19 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 status half-configured gcc-14-base:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 status installed gcc-14-base:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
